I,J,V
1120,1068,6636829.248025198
375,375,-3155055.161988787
375,985,2397882.906921888
985,375,5397882.906921925
985,985,-13140239.680093905
394,375,3155055.161988787
394,985,-2397882.906921888
1004,375,-5397882.906921925
1004,985,13140239.680093905
375,394,1422227.6838445826
375,1004,-291310.6130787609
985,394,2708689.3869212447
985,1004,11889734.207290716
394,394,-1422227.6838445826
394,1004,291310.6130787609
1004,394,-2708689.3869212447
1004,1004,-11889734.207290716
375,449,1732827.4781442038
375,1059,-2106572.293843127
985,449,-8106572.293843171
985,1059,1250505.47280319
394,449,-1732827.4781442038
394,1059,2106572.293843127
1004,449,8106572.293843171
1004,1059,-1250505.47280319
394,375,-4146555.9642212475
394,985,5181379.106621039
1004,375,-818620.8933789367
1004,985,4866246.210664027
449,375,4146555.9642212475
449,985,-5181379.106621039
1059,375,818620.8933789367
1059,985,-4866246.210664027
394,394,-3835956.1699215593
394,1004,-5633882.574143302
1004,394,-2633882.574143286
1004,1004,-5772982.523823254
449,394,3835956.1699215593
449,1004,5633882.574143302
1059,394,2633882.574143286
1059,1004,5772982.523823254
394,449,7982512.134142807
394,1059,452503.4675222622
1004,449,3452503.467522223
1004,1059,906736.3131592263
449,449,-7982512.134142807
449,1059,-452503.4675222622
1059,449,-3452503.467522223
1059,1059,-906736.3131592263
449,375,7301611.126210016
449,985,-7579262.01354293
1059,375,-4579262.013542893
1059,985,8273993.469429623
375,375,-7301611.126210016
375,985,7579262.01354293
985,375,4579262.013542893
985,985,-8273993.469429623
449,394,2413728.486077031
449,1004,5925193.187222104
1059,394,-74806.81277789269
1059,1004,-6116751.68346722
375,394,-2413728.486077031
375,1004,-5925193.187222104
985,394,74806.81277789269
985,1004,6116751.68346722
449,449,-9715339.612287046
449,1059,1654068.8263208265
1059,449,4654068.826320787
1059,1059,-2157241.7859624033
375,449,9715339.612287046
375,1059,-1654068.8263208265
985,449,-4654068.826320787
985,1059,2157241.7859624033
373,373,-13186676.842376385
373,983,-5455724.8456435185
983,373,-2455724.8456435064
983,983,-3208806.976084117
393,373,13186676.842376385
393,983,5455724.8456435185
1003,373,2455724.8456435064
1003,983,3208806.976084117
373,393,11376611.997330809
373,1003,-2716207.2243495095
983,393,283792.7756504867
983,1003,1314108.8387403446
393,393,-11376611.997330809
393,1003,2716207.2243495095
1003,393,-283792.7756504867
1003,1003,-1314108.8387403446
373,446,1810064.845045575
373,1056,8171932.0699930275
983,446,2171932.06999302
983,1056,1894698.137343772
393,446,-1810064.845045575
393,1056,-8171932.0699930275
1003,446,-2171932.06999302
1003,1056,-1894698.137343772
393,373,4402951.351519042
393,983,620120.6835155366
1003,373,-5379879.316484447
1003,983,-4391635.795319204
446,373,-4402951.351519042
446,983,-620120.6835155366
1056,373,5379879.316484447
1056,983,4391635.795319204
393,393,-5163595.800766183
393,1003,2508259.977858048
1003,393,5508259.977858032
1003,1003,-3811046.4967157654
446,393,5163595.800766183
446,1003,-2508259.977858048
1056,393,-5508259.977858032
1056,1003,3811046.4967157654
393,446,760644.449247141
393,1056,-3128380.6613735845
1003,446,-128380.66137358581
1003,1056,8202682.29203497
446,446,-760644.449247141
446,1056,3128380.6613735845
1056,446,128380.66137358581
1056,1056,-8202682.29203497
446,373,8783725.49085734
446,983,4835604.162127992
1056,373,7835604.162128012
1056,983,7600442.771403372
373,373,-8783725.49085734
373,983,-4835604.162127992
983,373,-7835604.162128012
983,983,-7600442.771403372
446,393,-6213016.196564613
446,1003,207947.2464914457
1056,393,-5792052.753508572
1056,1003,2496937.6579754534
373,393,6213016.196564613
373,1003,-207947.2464914457
983,393,5792052.753508572
983,1003,-2496937.6579754534
446,446,-2570709.2942927284
446,1056,-5043551.408619437
1056,446,-2043551.4086194392
1056,1056,-10097380.429378826
373,446,2570709.2942927284
373,1056,5043551.408619437
983,446,2043551.4086194392
983,1056,10097380.429378826
445,445,-8271536.695190771
445,1055,87342.35108793387
1055,445,3087342.3510879274
1055,1055,-755262.0313573541
391,445,8271536.695190771
391,1055,-87342.35108793387
1001,445,-3087342.3510879274
1001,1055,755262.0313573541
445,391,3539806.176023572
445,1001,-5363406.453465185
1055,391,-2363406.4534651823
1055,1001,4936050.49938607
391,391,-3539806.176023572
391,1001,5363406.453465185
1001,391,2363406.4534651823
1001,1001,-4936050.49938607
445,372,4731730.519167199
445,982,5276064.102377252
1055,372,-723935.8976227453
1055,982,-4180788.4680287163
391,372,-4731730.519167199
391,982,-5276064.102377252
1001,372,723935.8976227453
1001,982,4180788.4680287163
391,445,-2358668.802181646
391,1055,-2227803.1236264817
1001,445,-8227803.123626493
1001,1055,-1952870.7344526423
372,445,2358668.802181646
372,1055,2227803.1236264817
982,445,8227803.123626493
982,1055,1952870.7344526423
391,391,-1166744.459038001
391,1001,-588332.5677840536
1001,391,2411667.43221596
1001,1001,-11069709.701867469
372,391,1166744.459038001
372,1001,588332.5677840536
982,391,-2411667.43221596
982,1001,11069709.701867469
391,372,3525413.2612196472
391,982,2816135.6914105355
1001,372,5816135.691410534
1001,982,13022580.436320111
372,372,-3525413.2612196472
372,982,-2816135.6914105355
982,372,-5816135.691410534
982,982,-13022580.436320111
372,445,10630205.497372374
372,1055,2140460.7725385358
982,445,5140460.772538532
982,1055,2708132.765809983
445,445,-10630205.497372374
445,1055,-2140460.7725385358
1055,445,-5140460.772538532
1055,1055,-2708132.765809983
372,391,-2373061.7169855656
372,1001,5951739.021249217
982,391,-48260.978750772774
982,1001,6133659.202481356
445,391,2373061.7169855656
445,1001,-5951739.021249217
1055,391,48260.978750772774
1055,1001,-6133659.202481356
372,372,-8257143.780386809
372,982,-8092199.793787753
982,372,-5092199.793787759
982,982,-8841791.968291339
