I,J,V
1063,889,-4771075.899517298
326,279,-4989573.955235168
326,889,-1909808.2427567688
936,279,4090191.7572432663
936,889,4771075.899517298
453,453,-6609447.560150024
453,1063,2410487.515369841
1063,453,5410487.515369873
1063,1063,-3122773.024492813
326,453,6609447.560150024
326,1063,-2410487.515369841
936,453,-5410487.515369873
936,1063,3122773.024492813
122,122,-8876875.072291974
122,732,-6034206.625916478
732,122,-3034206.6259164996
732,732,-3844190.393944622
314,122,8876875.072291974
314,732,6034206.625916478
924,122,3034206.6259164996
924,732,3844190.393944622
122,314,11330951.207278244
122,924,-1248061.2934570427
732,314,1751938.7065429513
732,924,1132754.080255631
314,314,-11330951.207278244
314,924,1248061.2934570427
924,314,-1751938.7065429513
924,924,-1132754.080255631
122,217,-2454076.134986271
122,827,7282267.919373522
732,217,1282267.9193735484
732,827,2711436.313688991
314,217,2454076.134986271
314,827,-7282267.919373522
924,217,-1282267.9193735484
924,827,-2711436.313688991
314,122,5164729.948758903
314,732,3099381.557708451
924,122,-2900618.44229158
924,732,-4836050.553029912
217,122,-5164729.948758903
217,732,-3099381.557708451
827,122,2900618.44229158
827,732,4836050.553029912
314,314,-8620297.393505871
314,924,2629710.770539019
924,314,5629710.770538995
924,924,-3257368.319596606
217,314,8620297.393505871
217,924,-2629710.770539019
827,314,-5629710.770538995
827,924,3257368.319596606
314,217,3455567.4447469683
314,827,-5729092.328247471
924,217,-2729092.328247416
924,827,8093418.872626518
217,217,-3455567.4447469683
217,827,5729092.328247471
827,217,2729092.328247416
827,827,-8093418.872626518
217,122,3712145.123533274
217,732,2934825.0682081645
827,122,5934825.068208135
827,732,8680240.9469746
122,122,-3712145.123533274
122,732,-2934825.0682081645
732,122,-5934825.068208135
732,732,-8680240.9469746
217,314,-2710653.81377264
217,924,-1381649.4770819414
827,314,-7381649.477081966
827,924,2124614.2393409414
122,314,2710653.81377264
122,924,1381649.4770819414
732,314,7381649.477081966
732,924,-2124614.2393409414
217,217,-1001491.3097606339
217,827,-1553175.5911262226
827,217,1446824.4088738316
827,827,-10804855.18631554
122,217,1001491.3097606339
122,827,1553175.5911262226
732,217,-1446824.4088738316
732,827,10804855.18631554
217,217,-6465598.222673836
217,827,3046817.3729142146
827,217,6046817.372914216
827,827,-4513802.860041715
314,217,6465598.222673836
314,827,-3046817.3729142146
924,217,-6046817.372914216
924,827,4513802.860041715
217,314,2715712.5812120205
217,924,-5138194.873356354
827,314,-2138194.873356346
827,924,10757438.761986125
314,314,-2715712.5812120205
314,924,5138194.873356354
924,314,2138194.873356346
924,924,-10757438.761986125
217,159,3749885.6414618157
217,769,2091377.5004421403
827,159,-3908622.499557868
827,769,-6243635.90194441
314,159,-3749885.6414618157
314,769,-2091377.5004421403
924,159,3908622.499557868
924,769,6243635.90194441
314,217,-2688782.46555392
314,827,-807064.1988363115
924,217,-6807064.198836338
924,827,3846412.8127672337
159,217,2688782.46555392
159,827,807064.1988363115
769,217,6807064.198836338
769,827,-3846412.8127672337
314,314,-1654609.4053040287
314,924,-2577491.8250379344
924,314,422508.174962124
924,924,-13154661.851163294
159,314,1654609.4053040287
159,924,2577491.8250379344
769,314,-422508.174962124
769,924,13154661.851163294
314,159,4343391.870857948
314,769,3384556.0238742456
924,159,6384556.023874213
924,769,9308249.038396059
159,159,-4343391.870857948
159,769,-3384556.0238742456
769,159,-6384556.023874213
769,769,-9308249.038396059
159,217,9154380.688227601
159,827,-2239753.1740778657
769,217,760246.8259221072
769,827,667390.047274472
217,217,-9154380.688227601
217,827,2239753.1740778657
827,217,-760246.8259221072
827,827,-667390.047274472
159,314,-1061103.1759079741
159,924,7715686.69839416
769,314,1715686.6983941938
769,924,2397223.089177123
217,314,1061103.1759079741
217,924,-7715686.69839416
827,314,-1715686.6983941938
827,924,-2397223.089177123
159,159,-8093277.512319627
159,769,-5475933.524316293
769,159,-2475933.524316301
769,769,-3064613.1364515945
217,159,8093277.512319627
217,769,5475933.524316293
827,159,2475933.524316301
827,769,3064613.1364515945
207,207,-1465699.6710350167
207,817,-2545869.1112373946
817,207,454130.8887625841
817,817,-12289947.351186657
305,207,1465699.6710350167
305,817,2545869.1112373946
915,207,-454130.8887625841
915,817,12289947.351186657
207,305,5386457.277386472
207,915,4344348.674474483
817,305,7344348.674474513
817,915,12258822.32464772
305,305,-5386457.277386472
305,915,-4344348.674474483
915,305,-7344348.674474513
915,915,-12258822.32464772
207,431,-3920757.606351455
207,1041,-1798479.5632370887
817,431,-7798479.563237097
817,1041,31125.02653893805
305,431,3920757.606351455
305,1041,1798479.5632370887
915,431,7798479.563237097
915,1041,-31125.02653893805
305,207,-636065.1455389065
305,817,7336728.712986588
915,207,1336728.7129866169
915,817,5388366.006391544
431,207,636065.1455389065
431,817,-7336728.712986588
1041,207,-1336728.7129866169
1041,817,-5388366.006391544
305,305,-9943280.029276846
305,915,-7806099.524724938
915,305,-4806099.524724914
915,915,-6839331.291717018
431,305,9943280.029276846
431,915,7806099.524724938
1041,305,4806099.524724914
1041,915,6839331.291717018
305,431,10579345.174815753
305,1041,469370.81173835
915,431,3469370.8117382973
915,1041,1450965.2853254743
431,431,-10579345.174815753
431,1041,-469370.81173835
1041,431,-3469370.8117382973
1041,1041,-1450965.2853254743
431,207,2101764.816573892
431,817,-4790859.601749188
1041,207,-1790859.6017491831
1041,817,6901581.344794925
207,207,-2101764.816573892
207,817,4790859.601749188
817,207,1790859.6017491831
817,817,-6901581.344794925
431,305,4556822.751890404
431,915,3461750.850250479
1041,305,-2538249.149749497
1041,915,-5419491.032930524
207,305,-4556822.751890404
207,915,-3461750.850250479
817,305,2538249.149749497
817,915,5419491.032930524
431,431,-6658587.568464297
431,1041,1329108.751498709
1041,431,4329108.75149868
1041,1041,-1482090.3118644017
207,431,6658587.568464297
207,1041,-1329108.751498709
817,431,-4329108.75149868
817,1041,1482090.3118644017
437,437,-11301571.5413211
437,1047,-596251.6393734443
1047,437,2403748.360626549
1047,1047,-1217278.7215094026
549,437,11301571.5413211
549,1047,596251.6393734443
1159,437,-2403748.360626549
1159,1047,1217278.7215094026
437,549,15125673.548172781
437,1159,-8311225.125519167
1047,549,-5311225.125519196
1047,1159,6407690.708936848
549,549,-15125673.548172781
549,1159,8311225.125519167
1159,549,5311225.125519196
1159,1159,-6407690.708936848
437,489,-3824102.0068516806
437,1099,8907476.76489261
1047,489,2907476.7648926466
1047,1099,-5190411.987427445
549,489,3824102.0068516806
549,1099,-8907476.76489261
1159,489,-2907476.7648926466
1159,1099,5190411.987427445
549,437,7422727.698736702
549,1047,-920234.5979632157
1159,437,-6920234.597963232
1159,1047,-509100.5824016151
489,437,-7422727.698736702
489,1047,920234.5979632157
1099,437,6920234.597963232
1099,1047,509100.5824016151
549,549,-11527047.856288012
549,1159,7298467.292448696
1159,549,10298467.292448675
1159,1159,-12107203.27876597
489,549,11527047.856288012
489,1159,-7298467.292448696
1099,549,-10298467.292448675
1099,1159,12107203.27876597
549,489,4104320.157551311
549,1099,-6378232.694485479
1159,489,-3378232.6944854436
1159,1099,12616303.861167585
489,489,-4104320.157551311
489,1099,6378232.694485479
1099,489,3378232.6944854436
1099,1099,-12616303.861167585
489,437,3878843.8425845946
489,1047,1516486.237336678
1099,437,4516486.237336671
1099,1047,1726379.3039110461
437,437,-3878843.8425845946
437,1047,-1516486.237336678
1047,437,-4516486.237336671
1047,1047,-1726379.3039110461
489,549,-3598625.6918850215
489,1159,1012757.8330706053
1099,549,-4987242.166929426
1099,1159,5699512.569829058
437,549,3598625.6918850215
437,1159,-1012757.8330706053
1047,549,4987242.166929426
1047,1159,-5699512.569829058
489,489,-280218.15069957334
489,1099,-2529244.070407283
1099,489,470755.92959275504
1099,1099,-7425891.873740104
437,489,280218.15069957334
437,1099,2529244.070407283
1047,489,-470755.92959275504
1047,1099,7425891.873740104
195,195,-10518350.114452947
195,805,961375.5174459422
805,195,3961375.5174459196
805,805,-1727562.7802585505
322,195,10518350.114452947
322,805,-961375.5174459422
932,195,-3961375.5174459196
932,805,1727562.7802585505
195,322,7172820.779455515
195,932,-6957375.14062456
805,322,-3957375.1406245474
805,932,6448041.002300585
322,322,-7172820.779455515
322,932,6957375.14062456
932,322,3957375.1406245474
932,932,-6448041.002300585
195,422,3345529.334997431
195,1032,5995999.623178618
805,422,-4000.376821372658
805,1032,-4720478.222042034
322,422,-3345529.334997431
322,1032,-5995999.623178618
932,422,4000.376821372658
932,1032,4720478.222042034
322,195,1258073.3935775955
322,805,-1995349.8211369494
932,195,-7995349.821136973
932,805,158314.68317210814
422,195,-1258073.3935775955
422,805,1995349.8211369494
1032,195,7995349.821136973
1032,805,-158314.68317210814
322,322,-2569218.0508805085
322,932,1958024.9426662424
932,322,4958024.942666257
932,932,-11010204.541170634
422,322,2569218.0508805085
422,932,-1958024.9426662424
1032,322,-4958024.942666257
1032,932,11010204.541170634
322,422,1311144.657302913
322,1032,37324.87847070687
932,422,3037324.8784707165
932,1032,10851889.857998526
422,422,-1311144.657302913
422,1032,-37324.87847070687
1032,422,-3037324.8784707165
1032,1032,-10851889.857998526
422,195,9260276.720875349
422,805,1033974.3036909916
1032,195,4033974.3036909914
1032,805,1569248.0970864417
195,195,-9260276.720875349
195,805,-1033974.3036909916
805,195,-4033974.3036909914
805,805,-1569248.0970864417
422,322,-4603602.728575021
422,932,4999350.197958327
1032,322,-1000649.8020416733
1032,932,4562163.538869967
195,322,4603602.728575021
195,932,-4999350.197958327
805,322,1000649.8020416733
805,932,-4562163.538869967
422,422,-4656673.992300331
422,1032,-6033324.501649319
1032,422,-3033324.5016493183
1032,1032,-6131411.635956408
195,422,4656673.992300331
195,1032,6033324.501649319
805,422,3033324.5016493183
805,1032,6131411.635956408
328,328,-9580728.076833164
328,938,-378639.0157026707
938,328,2621360.984297328
938,938,-876525.8363436031
272,328,9580728.076833164
272,938,378639.0157026707
882,328,-2621360.984297328
882,938,876525.8363436031
328,272,9336956.044233559
328,882,-7209920.546408098
938,272,-4209920.546408106
938,882,5845386.015696693
272,272,-9336956.044233559
272,882,7209920.546408098
882,272,4209920.546408106
882,882,-5845386.015696693
328,450,243772.03259960446
328,1060,7588559.56211077
938,450,1588559.562110777
938,1060,-4968860.179353091
272,450,-243772.03259960446
272,1060,-7588559.56211077
882,450,-1588559.562110777
882,1060,4968860.179353091
272,328,3653688.417976144
272,938,-1435231.3186141525
882,328,-7435231.318614162
882,938,-1267650.334758841
450,328,-3653688.417976144
450,938,1435231.3186141525
1060,328,7435231.318614162
1060,938,1267650.334758841
272,272,-5439495.593657894
272,882,4363248.789904759
882,272,7363248.789904746
882,882,-12081896.529808648
450,272,5439495.593657894
450,882,-4363248.789904759
1060,272,-7363248.789904746
1060,882,12081896.529808648
272,450,1785807.1756817503
272,1060,-2928017.4712906065
882,450,71982.52870941663
882,1060,13349546.86456749
450,450,-1785807.1756817503
450,1060,2928017.4712906065
1060,450,-71982.52870941663
1060,1060,-13349546.86456749
450,328,5927039.658857063
450,938,1813870.3343168246
1060,328,4813870.334316821
1060,938,2144176.1711024474
328,328,-5927039.658857063
328,938,-1813870.3343168246
938,328,-4813870.334316821
938,938,-2144176.1711024474
450,272,-3897460.4505757084
450,882,2846671.7565033734
1060,272,-3153328.24349662
1060,882,6236510.514111927
328,272,3897460.4505757084
328,882,-2846671.7565033734
938,272,3153328.24349662
938,882,-6236510.514111927
450,450,-2029579.2082813557
450,1060,-4660542.090820197
1060,450,-1660542.0908202007
1060,1060,-8380686.685214374
328,450,2029579.2082813557
328,1060,4660542.090820197
938,450,1660542.0908202007
938,1060,8380686.685214374
327,327,-904509.2897027577
327,937,-2126433.4514975175
937,327,873566.5485024608
937,937,-10191386.945814341
271,327,904509.2897027577
271,937,2126433.4514975175
881,327,-873566.5485024608
881,937,10191386.945814341
327,271,4904695.541487343
327,881,3762404.373824218
937,271,6762404.3738242425
937,881,9688994.283669353
271,271,-4904695.541487343
271,881,-3762404.373824218
881,271,-6762404.3738242425
881,881,-9688994.283669353
327,451,-4000186.2517845845
327,1061,-1635970.9223267
937,451,-7635970.922326704
937,1061,502392.6621449877
271,451,4000186.2517845845
271,1061,1635970.9223267
881,451,7635970.922326704
881,1061,-502392.6621449877
271,327,-1712016.013083688
271,937,7236943.543206281
881,327,1236943.5432062522
881,937,3803961.854103995
451,327,1712016.013083688
451,937,-7236943.543206281
1061,327,-1236943.5432062522
1061,937,-3803961.854103995
271,271,-10616897.806355754
271,881,-7161431.752944724
881,271,-4161431.75294472
881,881,-5382639.767420459
451,271,10616897.806355754
451,881,7161431.752944724
1061,271,4161431.75294472
1061,881,5382639.767420459
271,451,12328913.819439443
271,1061,-75511.79026155756
881,451,2924488.2097384674
881,1061,1578677.9133164631
451,451,-12328913.819439443
451,1061,75511.79026155756
1061,451,-2924488.2097384674
1061,1061,-1578677.9133164631
451,327,2616525.3027864336
451,937,-5110510.091708703
1061,327,-2110510.091708704
1061,937,6387425.091710389
327,327,-2616525.3027864336
327,937,5110510.091708703
937,327,2110510.091708704
937,937,-6387425.091710389
451,271,5712202.26486832
451,881,3399027.379120444
1061,271,-2600972.6208795644
1061,881,-4306354.51624895
327,271,-5712202.26486832
327,881,-3399027.379120444
937,271,2600972.6208795644
937,881,4306354.51624895
451,451,-8328727.567654754
451,1061,1711482.7125882595
1061,451,4711482.712588268
1061,1061,-2081070.5754614389
327,451,8328727.567654754
327,1061,-1711482.7125882595
937,451,-4711482.712588268
937,1061,2081070.5754614389
426,426,-4155877.7186886794
426,1036,-6031083.713137146
1036,426,-3031083.7131371503
1036,1036,-7309387.327257872
254,426,4155877.7186886794
254,1036,6031083.713137146
864,426,3031083.7131371503
864,1036,7309387.327257872
426,254,8277931.223636548
426,864,1509151.8538520108
1036,254,4509151.853852026
1036,864,1858802.6732110975
254,254,-8277931.223636548
254,864,-1509151.8538520108
864,254,-4509151.853852026
864,864,-1858802.6732110975
426,375,-4122053.504947868
426,985,4521931.859285135
1036,375,-1478068.1407148757
1036,985,5450584.654046774
254,375,4122053.504947868
254,985,-4521931.859285135
864,375,1478068.1407148757
864,985,-5450584.654046774
254,426,2696906.5071811257
254,1036,6380361.007131189
864,426,380361.0071311814
864,1036,-4826877.027060952
375,426,-2696906.5071811257
375,1036,-6380361.007131189
985,426,-380361.0071311814
985,1036,4826877.027060952
254,254,-9703078.22140329
254,864,393141.01256432483
864,254,3393141.01256434
864,864,-1235095.0462252689
375,254,9703078.22140329
375,864,-393141.01256432483
985,254,-3393141.01256434
985,864,1235095.0462252689
254,375,7006171.714222165
254,985,-6773502.019695513
864,375,-3773502.019695522
864,985,6061972.07328622
375,375,-7006171.714222165
375,985,6773502.019695513
985,375,3773502.019695522
985,985,-6061972.07328622
375,426,1458971.211507538
375,1036,-349277.29399404814
985,426,2650722.7060059467
985,1036,12136264.354318732
426,426,-1458971.211507538
426,1036,349277.29399404814
1036,426,-2650722.7060059467
1036,1036,-12136264.354318732
375,254,1425146.9977667432
375,864,-1902292.8664163207
985,254,-7902292.866416306
985,864,-623707.6269858219
426,254,-1425146.9977667432
426,864,1902292.8664163207
1036,254,7902292.866416306
1036,864,623707.6269858219
375,375,-2884118.2092742813
375,985,2251570.160410369
985,375,5251570.1604103595
985,985,-11512556.727332909
426,375,2884118.2092742813
426,985,-2251570.160410369
1036,375,-5251570.1604103595
1036,985,11512556.727332909
374,374,-6300543.063225192
374,984,4024816.9349894742
984,374,7024816.934989482
984,984,-7617168.976201428
252,374,6300543.063225192
252,984,-4024816.9349894742
862,374,-7024816.934989482
862,984,7617168.976201428
374,252,1264118.2799084277
374,862,-3413195.8425120013
984,252,-413195.84251200815
984,862,9792027.666087681
252,252,-1264118.2799084277
252,862,3413195.8425120013
862,252,413195.84251200815
862,862,-9792027.666087681
374,598,5036424.783316764
374,1208,-611621.0924774725
984,598,-6611621.092477474
984,1208,-2174858.689886253
252,598,-5036424.783316764
252,1208,611621.0924774725
862,598,6611621.092477474
862,1208,2174858.689886253
252,374,-5521407.724394751
252,984,1740723.941143373
862,374,-4259276.058856614
862,984,4202020.173334902
598,374,5521407.724394751
598,984,-1740723.941143373
1208,374,4259276.058856614
1208,984,-4202020.173334902
252,252,-1749101.220986452
252,862,-4457701.308822018
862,252,-1457701.3088220474
862,862,-7764866.182639054
598,252,1749101.220986452
598,862,4457701.308822018
1208,252,1457701.3088220474
1208,862,7764866.182639054
252,598,7270508.945381203
252,1208,2716977.367678645
862,598,5716977.367678662
862,1208,3562846.009304152
598,598,-7270508.945381203
598,1208,-2716977.367678645
1208,598,-5716977.367678662
1208,1208,-3562846.009304152
598,374,11821950.787620118
598,984,-5765540.876132934
1208,374,-2765540.8761329167
1208,984,3415148.8028665856
374,374,-11821950.787620118
374,984,5765540.876132934
984,374,2765540.8761329167
984,984,-3415148.8028665856
598,252,484982.94107802917
598,862,7870897.151334137
1208,252,1870897.1513340825
1208,862,-2027161.4834486693
374,252,-484982.94107802917
374,862,-7870897.151334137
984,252,-1870897.1513340825
984,862,2027161.4834486693
598,598,-12306933.728698147
598,1208,-2105356.2752012014
1208,598,894643.7247988341
1208,1208,-1387987.3194179158
374,598,12306933.728698147
374,1208,2105356.2752012014
984,598,-894643.7247988341
984,1208,1387987.3194179158
599,599,-7372707.428430807
599,1209,2997393.7769644363
1209,599,5997393.776964434
1209,1209,-4070559.3550004233
251,599,7372707.428430807
251,1209,-2997393.7769644363
861,599,-5997393.776964434
861,1209,4070559.3550004233
599,251,2098416.0221617837
599,861,-4715785.614832795
1209,251,-1715785.614832789
1209,861,8481820.731300017
251,251,-2098416.0221617837
251,861,4715785.614832795
861,251,1715785.614832789
861,861,-8481820.731300017
599,373,5274291.406269024
599,983,1718391.8378683582
1209,373,-4281608.162131646
1209,983,-4411261.376299593
251,373,-5274291.406269024
251,983,-1718391.8378683582
861,373,4281608.162131646
861,983,4411261.376299593
251,599,-4372744.189453755
251,1209,-558682.6449951474
861,599,-6558682.644995138
861,1209,2747053.2083004317
373,599,4372744.189453755
373,1209,558682.6449951474
983,599,6558682.644995138
983,1209,-2747053.2083004317
251,251,-1196868.8053465197
251,861,-3124505.192294012
861,251,-124505.19229401252
861,861,-10146028.899299152
373,251,1196868.8053465197
373,861,3124505.192294012
983,251,124505.19229401252
983,861,10146028.899299152
251,373,5569612.994800275
251,983,3683187.837289159
861,373,6683187.837289151
861,983,7398975.69099872
373,373,-5569612.994800275
373,983,-3683187.837289159
983,373,-6683187.837289151
983,983,-7398975.69099872
373,599,11745451.617884558
373,1209,-2438711.131969282
983,599,561288.8680307312
983,1209,1323506.146699977
599,599,-11745451.617884558
599,1209,2438711.131969282
1209,599,-561288.8680307312
1209,1209,-1323506.146699977
373,251,-901547.2168152566
373,861,7840290.807126806
983,251,1840290.8071267987
983,861,1664208.1679991777
599,251,901547.2168152566
599,861,-7840290.807126806
1209,251,-1840290.8071267987
1209,861,-1664208.1679991777
373,373,-10843904.401069302
373,983,-5401579.675157524
983,373,-2401579.6751575302
983,983,-2987714.314699155
599,373,10843904.401069302
599,983,5401579.675157524
1209,373,2401579.6751575302
1209,983,2987714.314699155
372,372,-6980029.952231272
372,982,-6091221.09435424
982,372,-3091221.0943542374
982,982,-4394025.596651155
253,372,6980029.952231272
253,982,6091221.09435424
863,372,3091221.0943542374
863,982,4394025.596651155
372,253,9471340.439220175
372,863,-870290.0838042223
982,253,2129709.9161957875
982,863,726471.8468807488
253,253,-9471340.439220175
253,863,870290.0838042223
863,253,-2129709.9161957875
863,863,-726471.8468807488
372,597,-2491310.4869889035
372,1207,6961511.178158462
982,597,961511.1781584497
982,1207,3667553.7497704057
253,597,2491310.4869889035
253,1207,-6961511.178158462
863,597,-961511.1781584497
863,1207,-3667553.7497704057
253,372,3981410.6797486898
253,982,3661369.352880442
863,372,-2338630.6471195575
863,982,-6039098.643083232
597,372,-3981410.6797486898
597,982,-3661369.352880442
1207,372,2338630.6471195575
1207,982,6039098.643083232
253,253,-7981240.246460346
253,863,2493170.6148431245
863,253,5493170.614843134
863,863,-3098016.740193579
597,253,7981240.246460346
597,863,-2493170.6148431245
1207,253,-5493170.614843134
1207,863,3098016.740193579
253,597,3999829.5667116554
253,1207,-6154539.967723567
863,597,-3154539.9677235764
863,1207,9137115.383276813
597,597,-3999829.5667116554
597,1207,6154539.967723567
1207,597,3154539.9677235764
1207,1207,-9137115.383276813
597,372,2998619.272482545
597,982,2429851.741473766
1207,372,5429851.741473768
1207,982,10433124.239734344
372,372,-2998619.272482545
372,982,-2429851.741473766
982,372,-5429851.741473768
982,982,-10433124.239734344
597,253,-1490100.1927597867
597,863,-1622880.5310389018
1207,253,-7622880.531038893
1207,863,2371544.893312827
372,253,1490100.1927597867
372,863,1622880.5310389018
982,253,7622880.531038893
982,863,-2371544.893312827
597,597,-1508519.0797227584
597,1207,-806971.2104348644
1207,597,2193028.7895651255
1207,1207,-12804669.133047171
372,597,1508519.0797227584
372,1207,806971.2104348644
982,597,-2193028.7895651255
982,1207,12804669.133047171
338,338,-4052210.9092103997
338,948,2222281.3422755403
948,338,5222281.342275536
948,948,-3686538.981143095
576,338,4052210.9092103997
576,948,-2222281.3422755403
1186,338,-5222281.342275536
1186,948,3686538.981143095
338,576,1377749.3380838684
338,1186,-3259163.230972556
948,576,-259163.23097254685
948,1186,10722353.704509752
576,576,-1377749.3380838684
576,1186,3259163.230972556
1186,576,259163.23097254685
1186,1186,-10722353.704509752
338,486,2674461.5711265313
338,1096,1036881.8886970163
948,486,-4963118.111302989
948,1096,-7035814.723366655
576,486,-2674461.5711265313
576,1096,-1036881.8886970163
1186,486,4963118.111302989
1186,1096,7035814.723366655
576,338,-4282637.514414579
576,948,-282131.61947913375
1186,338,-6282131.61947914
1186,948,3294228.1671882807
486,338,4282637.514414579
486,948,282131.61947913375
1096,338,6282131.61947914
1096,948,-3294228.1671882807
576,576,-2985925.281371884
576,1186,-4986086.499809652
1186,576,-1986086.4998096128
1186,1186,-14463940.26068811
486,576,2985925.281371884
486,1186,4986086.499809652
1096,576,1986086.4998096128
1096,1186,14463940.26068811
576,486,7268562.795786463
576,1096,5268218.119288785
1186,486,8268218.119288752
1186,1096,11169712.093499828
486,486,-7268562.795786463
486,1096,-5268218.119288785
1096,486,-8268218.119288752
1096,1096,-11169712.093499828
486,338,8334848.423624897
486,948,-1940149.7227963782
1096,338,1059850.2772036358
1096,948,392310.813954785
338,338,-8334848.423624897
338,948,1940149.7227963782
948,338,-1059850.2772036358
948,948,-392310.813954785
486,576,1608175.9432880154
486,1186,8245249.7307821335
1096,576,2245249.730782144
1096,1186,3741586.5561784147
338,576,-1608175.9432880154
338,1186,-8245249.7307821335
948,576,-2245249.730782144
948,1186,-3741586.5561784147
486,486,-9943024.366912913
486,1096,-6305100.007985756
1096,486,-3305100.007985779
1096,1096,-4133897.3701331997
338,486,9943024.366912913
338,1096,6305100.007985756
948,486,3305100.007985779
948,1096,4133897.3701331997
465,465,-9230042.452010134
465,1075,-6913570.40383962
1075,465,-3913570.403839607
1075,1075,-5298097.525134303
241,465,9230042.452010134
241,1075,6913570.40383962
851,465,3913570.403839607
851,1075,5298097.525134303
465,241,17456904.29366878
465,851,1899300.2036945755
1075,241,4899300.203694552
1075,851,3336743.8277975214
241,241,-17456904.29366878
241,851,-1899300.2036945755
851,241,-4899300.203694552
851,851,-3336743.8277975214
465,510,-8226861.841658644
465,1120,5014270.200145043
1075,510,-985729.7998549456
1075,1120,1961353.6973367808
241,510,8226861.841658644
241,1120,-5014270.200145043
851,510,985729.7998549456
851,1120,-1961353.6973367808
241,465,8208591.78249914
241,1075,5978366.369433136
851,465,-21633.630566845415
851,1075,-1240676.9870849107
510,465,-8208591.78249914
510,1075,-5978366.369433136
1120,465,21633.630566845415
1120,1075,1240676.9870849107
241,241,-17475174.35282824
241,851,93336.36588359124
851,241,3093336.3658835674
851,851,-2616067.1175456503
510,241,17475174.35282824
510,851,-93336.36588359124
1120,241,-3093336.3658835674
1120,851,2616067.1175456503
241,510,9266582.570329096
241,1120,-6071702.735316726
851,510,-3071702.7353167217
851,1120,3856744.1046305606
510,510,-9266582.570329096
510,1120,6071702.735316726
1120,510,3071702.7353167217
1120,1120,-3856744.1046305606
510,465,1021450.6695109723
510,1075,935204.03440647
1120,465,3935204.034406492
1120,1075,6538774.512219284
465,465,-1021450.6695109723
465,1075,-935204.03440647
1075,465,-3935204.034406492
1075,1075,-6538774.512219284
510,241,18270.05915952484
510,851,-1992636.569578187
1120,241,-7992636.569578213
1120,851,-720676.7102518678
465,241,-18270.05915952484
465,851,1992636.569578187
1075,241,7992636.569578213
1075,851,720676.7102518678
510,510,-1039720.7286704971
510,1120,1057432.5351717172
1120,510,4057432.5351717207
1120,1120,-5818097.801967416
465,510,1039720.7286704971
465,1120,-1057432.5351717172
1075,510,-4057432.5351717207
1075,1120,5818097.801967416
510,510,-5861302.3921604
510,1120,4339939.900823609
1120,510,7339939.900823578
1120,1120,-10024164.973276367
241,510,5861302.3921604
241,1120,-4339939.900823609
851,510,-7339939.900823578
851,1120,10024164.973276367
510,241,3859011.1105641546
510,851,-5566622.574025309
1120,241,-2566622.5740252673
1120,851,18430938.058141336
241,241,-3859011.1105641546
241,851,5566622.574025309
851,241,2566622.5740252673
851,851,-18430938.058141336
510,417,2002291.2815962455
510,1027,1226682.6732016995
1120,417,-4773317.326798312
1120,1027,-8406773.084864967
241,417,-2002291.2815962455
241,1027,-1226682.6732016995
851,417,4773317.326798312
851,1027,8406773.084864967
241,510,-732198.9792720315
241,1120,-244593.15727868536
851,510,-6244593.157278701
851,1120,8821814.622335808
417,510,732198.9792720315
417,1120,244593.15727868536
1027,510,6244593.157278701
1027,1120,-8821814.622335808
241,241,-2588918.8082399215
241,851,-2451287.910051838
851,241,548712.0899482002
851,851,-18015896.520670515
417,241,2588918.8082399215
417,851,2451287.910051838
1027,241,-548712.0899482002
1027,851,18015896.520670515
241,417,3321117.787511952
241,1027,2695881.0673305234
851,417,5695881.0673305
851,1027,9194081.898334706
417,417,-3321117.787511952
417,1027,-2695881.0673305234
1027,417,-5695881.0673305
1027,1027,-9194081.898334706
417,510,6593501.371432333
417,1120,-4095346.7435448687
1027,510,-1095346.7435449092
1027,1120,1202350.3509406075
510,510,-6593501.371432333
510,1120,4095346.7435448687
1120,510,1095346.7435449092
1120,1120,-1202350.3509406075
417,241,-1270092.3023242345
417,851,8017910.484077017
1027,241,2017910.484077043
1027,851,-415041.5374709448
510,241,1270092.3023242345
510,851,-8017910.484077017
1120,241,-2017910.484077043
1120,851,415041.5374709448
417,417,-5323409.0691081
417,1027,-3922563.7405321486
1027,417,-922563.740532134
1027,1027,-787308.813469663
510,417,5323409.0691081
510,1027,3922563.7405321486
1120,417,922563.740532134
1120,1027,787308.813469663
296,296,-16524772.024857972
296,906,9906.074465163168
906,296,3009906.0744651733
906,906,-2418935.1629734673
480,296,16524772.024857972
480,906,-9906.074465163168
1090,296,-3009906.0744651733
1090,906,2418935.1629734673
296,480,13110681.480529116
296,1090,-7057337.504033208
906,480,-4057337.5040332107
906,1090,4912902.481871512
480,480,-13110681.480529116
480,1090,7057337.504033208
1090,480,4057337.5040332107
1090,1090,-4912902.481871512
296,601,3414090.5443288535
296,1211,7047431.429568045
906,601,1047431.4295680373
906,1211,-2493967.3188980455
480,601,-3414090.5443288535
480,1211,-7047431.429568045
1090,601,-1047431.4295680373
1090,1211,2493967.3188980455
480,296,4799452.60878688
480,906,-1705129.8837140547
1090,296,-7705129.8837141
1090,906,-11356.2513772971
601,296,-4799452.60878688
601,906,1705129.8837140547
1211,296,7705129.8837141
1211,906,11356.2513772971
480,480,-4897138.327413327
480,1090,3399639.0498872
1090,480,6399639.049887245
1090,1090,-7418226.052146868
601,480,4897138.327413327
601,1090,-3399639.0498872
1211,480,-6399639.049887245
